0,0.22,0.2314,0.4745
1,0.3216,0.3294,0.6392
2,0.4196,0.4314,0.8118
3,0.6118,0.6200,0.8706
4,0.3882,0.4745,0.2236
5,0.5490,0.6353,0.3216
6,0.7098,0.8118,0.4200
7,0.8078,0.8588,0.6118
8,0.5490,0.4275,0.1922
9,0.7412,0.6196,0.2235
10,0.9059,0.7294,0.3216
11,0.9059,0.7961,0.5804
12,0.5176,0.2353,0.2235
13,0.6784,0.2863,0.2902
14,0.8392,0.3804,0.4196
15,0.9059,0.5882,0.6118
16,0.4824,0.2549,0.4510
17,0.6471,0.3176,0.5804
18,0.8706,0.6196,0.8392
19,0.2588,0.5098,0.7412
20,0.4196,0.6824,0.8431
21,0.6196,0.7922,0.8863
22,0.7765,0.8588,0.9373
23,0.9020,0.3333,0.0510
24,0.9373,0.5529,0.2392
25,0.9490,0.6824,0.4196
26,0.9647,0.8196,0.6353
27,0.2510,0.6392,0.3333
28,0.4549,0.7725,0.4667
29,0.6353,0.8549,0.6118
30,0.7804,0.9137,0.7529
31,0.4588,0.4196,0.6941
32,0.6196,0.6078,0.7843
33,0.7373,0.7451,0.8627
34,0.8549,0.8549,0.9216
